--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
11,Matt Albers*,23,HOU,NL,-0.1,4,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,/1,,alberma01
12,Manny Alexander,35,SDP,NL,-0.2,22,39,34,2,6,1,1,0,4,0,1,2,5,.176,.216,.265,.481,28,.192,1,9,0,0,2,1,2,5/6H,,alexama02
13,Edgardo Alfonzo,32,2TM,AL,-0.7,30,95,87,5,11,2,0,0,5,0,0,7,4,.126,.200,.149,.349,-7,.201,-2,13,2,1,0,0,0,54/3DH,,alfoned01
14,Eliézer Alfonzo,27,SFG,NL,0.7,87,309,286,27,76,17,2,12,39,1,0,9,74,.266,.302,.465,.767,93,.337,93,133,10,7,4,3,7,2/H,,alfonel01
15,Sandy Alomar,40,2TM,2LG,-0.2,46,113,108,8,30,8,0,1,17,0,0,3,14,.278,.292,.380,.672,70,.315,76,41,3,0,0,2,0,2H/D,,alomasa02
16,Moisés Alou,39,SFG,NL,1.4,98,378,345,52,104,25,1,22,74,2,1,28,31,.301,.352,.571,.923,132,.395,135,197,15,1,0,4,2,97/HD,,aloumo01
17,Abe Alvarez*,23,BOS,AL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-158,0,0,0,0,0,0,/1,,alvarab01
18,Alfredo Amézaga#,28,FLA,NL,0.4,132,378,334,42,87,9,3,3,19,20,12,33,46,.260,.332,.332,.664,76,.297,73,111,5,3,7,1,4,8H476/539,,amezaal01
19,Brian Anderson,24,CHW,AL,0.0,134,405,365,46,82,23,1,8,33,4,7,30,90,.225,.290,.359,.649,65,.301,69,131,3,5,2,3,2,*8/H,,anderbr03
20,Drew Anderson*,25,MIL,NL,-0.1,9,10,9,3,1,0,0,0,0,0,0,1,4,.111,.200,.111,.311,-17,.162,-31,1,0,0,0,0,0,/H79,,anderdr01
21,Garret Anderson*,34,LAA,AL,-0.4,141,588,543,63,152,28,2,17,85,1,0,38,95,.280,.323,.433,.756,94,.322,83,235,8,0,0,7,11,7D/H,,anderga01
22,Marlon Anderson*,32,2TM,NL,1.5,134,312,279,43,83,16,4,12,38,4,6,25,49,.297,.354,.513,.866,123,.370,126,143,4,1,4,3,1,H479/8D3,,anderma02
23,Robert Andino,22,FLA,NL,-0.3,11,28,24,0,4,1,0,0,2,1,0,1,6,.167,.185,.208,.394,3,.215,3,5,0,0,1,2,0,/6H,,andinro01
24,Greg Aquino,28,ARI,NL,0.0,40,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-150,0,1,0,0,0,0,1,,aquingr01
25,Danny Ardoin,31,2TM,2LG,-0.7,40,135,122,14,22,5,1,0,3,0,0,9,33,.180,.254,.238,.491,24,.228,7,29,3,3,1,0,2,2,,ardoida01
26,Joaquín Árias,21,TEX,AL,0.4,6,12,11,4,6,1,0,0,1,0,1,1,0,.545,.583,.636,1.220,216,.499,238,7,0,0,0,0,0,/6H5,,ariasjo01
27,Tony Armas,28,WSN,NL,-0.4,29,56,50,1,3,0,0,0,1,0,0,1,21,.060,.078,.060,.138,-63,.085,-95,3,2,0,5,0,0,1,,armasto02
28,Bronson Arroyo,29,CIN,NL,0.2,34,94,81,5,9,3,0,2,6,0,0,3,31,.111,.143,.222,.365,-10,.191,-27,18,1,0,10,0,0,1,ASMVP-23,arroybr01
29,Miguel Asencio,25,COL,NL,0.0,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-149,0,0,0,0,0,0,/1,,asencmi01
30,Ezequiel Astacio,26,HOU,NL,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,astacez01
31,Pedro Astacio,37,WSN,NL,0.2,17,34,25,2,5,0,0,0,0,0,0,0,8,.200,.259,.200,.459,24,.223,-2,5,0,2,7,0,0,1,,astacpe01
32,Garrett Atkins,26,COL,NL,5.0,157,695,602,117,198,48,1,29,120,4,0,79,76,.329,.409,.556,.965,136,.416,140,335,24,7,0,7,6,*5/3,MVP-15,atkinga01
33,Rich Aurilia,34,CIN,NL,1.4,122,481,440,61,132,25,1,23,70,3,0,34,51,.300,.349,.518,.867,115,.373,114,228,10,1,2,4,1,536H4/D,,aurilri01
34,Brad Ausmus,37,HOU,NL,-0.3,139,502,439,37,101,16,1,2,39,3,1,45,71,.230,.308,.285,.593,54,.285,55,125,21,6,9,3,2,*2/4H3,GG,ausmubr01
35,Erick Aybar#,22,LAA,AL,-0.2,34,40,40,5,10,1,1,0,2,1,0,0,8,.250,.250,.325,.575,48,.248,27,13,1,0,0,0,0,6H/D4,,aybarer01
36,Willy Aybar#,23,2TM,NL,0.5,79,278,243,32,68,18,0,4,30,1,2,28,36,.280,.364,.403,.767,97,.353,106,98,7,4,3,0,0,54H,,aybarwi01
37,Brandon Backe,28,HOU,NL,0.0,9,15,14,0,2,0,0,0,0,0,0,1,6,.143,.200,.143,.343,-9,.168,-26,2,1,0,0,0,0,/1H,,backebr01
38,Danys Báez,28,2TM,NL,0.0,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baezda01
39,Jeff Bajenaru,28,ARI,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,bajenje01
40,Jeff Baker,25,COL,NL,0.6,18,58,57,13,21,7,2,5,21,2,0,1,14,.368,.379,.825,1.204,187,.515,205,47,0,0,0,0,0,9/H73,,bakerje03
41,Scott Baker,24,MIN,AL,0.0,1,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-141,0,0,0,0,0,0,1,,bakersc02
42,Paul Bako*,34,KCR,AL,-0.4,56,167,153,7,32,3,0,0,10,0,0,11,46,.209,.261,.229,.489,28,.239,23,35,3,0,2,1,0,2/HD,,bakopa01
43,Rocco Baldelli,24,TBD,AL,3.2,92,387,364,59,110,24,6,16,57,10,1,14,70,.302,.339,.533,.871,122,.378,121,194,2,7,0,2,1,8/H,,baldero01
44,Brian Bannister,25,NYM,NL,0.2,8,13,12,2,4,3,0,0,2,0,0,0,3,.333,.333,.583,.917,131,.385,132,7,0,0,1,0,0,/1,,bannibr01
45,Rod Barajas,30,TEX,AL,1.1,97,371,344,49,88,20,0,11,41,0,0,17,51,.256,.298,.410,.708,80,.318,80,141,9,4,5,1,0,2/3,,barajro01
46,Josh Bard#,28,2TM,2LG,2.6,100,284,249,30,83,20,0,9,40,1,0,30,42,.333,.404,.522,.926,145,.401,147,130,9,1,2,2,1,2H,,bardjo01
47,Josh Barfield,23,SDP,NL,3.1,150,578,539,72,151,32,3,13,58,21,5,30,81,.280,.318,.423,.741,96,.337,100,228,8,2,2,5,7,*4/H,,barfijo02
48,Kevin Barker*,30,TOR,AL,0.0,12,18,17,3,4,1,0,1,1,0,0,1,10,.235,.278,.471,.748,89,.318,81,8,0,0,0,0,0,/HD39,,barkeke01
49,Clint Barmes,27,COL,NL,1.2,131,535,478,57,105,26,4,7,56,5,4,22,72,.220,.264,.335,.598,47,.275,40,160,2,9,19,7,6,*6/H4,,barmecl01
50,Chris Barnwell,27,MIL,NL,-0.5,13,31,30,2,2,0,0,0,1,1,0,1,6,.067,.097,.067,.163,-57,.115,-69,2,0,0,0,0,0,/645H,,barnwch01
51,Michael Barrett,29,CHC,NL,2.4,107,418,375,54,115,25,3,16,53,0,1,33,41,.307,.368,.517,.885,121,.389,128,194,12,5,2,3,2,2/HD,,barremi01
52,Kevin Barry,27,ATL,NL,0.0,18,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,,barryke01
53,Jason Bartlett,26,MIN,AL,2.8,99,372,333,44,103,18,2,2,32,10,5,22,46,.309,.367,.393,.760,99,.345,102,131,8,11,1,5,1,6,,bartlja01
54,Philip Barzilla*,27,HOU,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,barziph01
55,Miguel Batista,35,ARI,NL,-0.3,32,72,60,3,6,1,0,0,4,0,0,2,31,.100,.127,.117,.244,-38,.143,-69,7,2,0,9,1,0,1,,batismi01
56,Tony Batista,32,MIN,AL,-0.6,50,195,178,24,42,12,0,5,21,0,1,15,27,.236,.303,.388,.690,79,.298,71,69,5,2,0,0,1,5,,batisto01
57,Rick Bauer,29,TEX,AL,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bauerri01
58,Denny Bautista,25,COL,NL,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-158,0,0,0,0,0,0,/1,,bautide01
59,José Bautista,25,PIT,NL,-1.1,117,469,400,58,94,20,3,16,51,2,4,46,110,.235,.335,.420,.755,94,.333,95,168,12,16,3,4,2,859/H74,,bautijo02
60,Jason Bay,27,PIT,NL,4.3,159,689,570,101,163,29,3,35,109,11,2,102,156,.286,.396,.532,.928,138,.399,138,303,15,8,0,9,9,*7/H,ASMVP-23,bayja01
61,Jonah Bayliss,25,PIT,NL,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baylijo01
62,T.J. Beam,25,NYY,AL,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,,beamtj01
63,Colter Bean,29,NYY,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,beanco01
64,Josh Beckett,26,BOS,AL,0.2,2,7,7,2,3,0,0,1,3,0,0,0,2,.429,.429,.857,1.286,215,.539,233,6,0,0,0,0,0,1,,beckejo02
65,Érik Bédard*,27,BAL,AL,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-140,0,0,0,0,0,0,1,,bedarer01
66,Joe Beimel*,29,LAD,NL,0.0,59,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,,beimejo01
67,Matt Belisle,26,CIN,NL,-0.1,30,7,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-248,0,0,0,2,0,0,1,,belisma01
68,David Bell,33,2TM,NL,1.3,145,566,504,60,136,27,4,10,63,3,1,50,68,.270,.337,.399,.736,86,.332,86,201,18,4,3,5,3,*5/H,,bellda01
69,Heath Bell,28,NYM,NL,0.0,19,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,,bellhe01
70,Mark Bellhorn#,31,SDP,NL,0.9,115,288,253,26,48,11,2,8,27,0,0,32,90,.190,.285,.344,.629,67,.287,68,87,3,2,0,1,0,5H34/D9,,bellhma01
71,Ronnie Belliard,31,2TM,2LG,1.6,147,590,544,63,148,30,1,13,67,2,3,36,81,.272,.322,.403,.725,87,.320,84,219,17,5,3,2,2,*4/H5,,belliro01
72,Carlos Beltrán#,29,NYM,NL,8.2,140,617,510,127,140,38,1,41,116,18,3,95,99,.275,.388,.594,.982,150,.432,160,303,6,4,1,7,6,*8/HD,ASMVP-4GGSS,beltrca01
73,Adrian Beltré,27,SEA,AL,5.4,156,681,620,88,166,39,4,25,89,11,5,47,118,.268,.328,.465,.792,105,.355,110,288,15,10,1,3,4,*5/4D,,beltrad01
74,Armando Benítez,33,SFG,NL,0.0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,benitar01
75,Gary Bennett,34,STL,NL,-0.2,60,170,157,13,35,5,0,4,22,0,0,11,30,.223,.274,.331,.605,55,.292,62,52,3,0,2,0,2,2/H3,,bennega01
76,Joaquin Benoit,28,TEX,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,benoijo01
77,Kris Benson,31,BAL,AL,0.0,3,9,9,1,1,0,0,1,2,0,0,0,3,.111,.111,.444,.556,35,.217,11,4,0,0,0,0,0,1,,bensokr01
78,Jason Bergmann,24,WSN,NL,-0.1,26,11,8,0,0,0,0,0,0,0,0,1,2,.000,.111,.000,.111,-67,.079,-122,0,0,0,2,0,0,1,,bergmja01
79,Lance Berkman#,30,HOU,NL,6.0,152,646,536,95,169,29,0,45,136,3,2,98,106,.315,.420,.621,1.041,163,.436,166,333,11,4,0,8,22,*39/7HD,ASMVP-3,berkmla01
80,Ángel Berroa,28,KCR,AL,-1.5,132,503,474,45,111,18,1,9,54,3,1,14,88,.234,.259,.333,.592,52,.270,44,158,21,3,9,3,1,*6/H,,berroan01
81,Rafael Betancourt,31,CLE,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,betanra01
82,Yuniesky Betancourt,24,SEA,AL,1.8,157,584,558,68,161,28,6,8,47,11,8,17,54,.289,.310,.403,.713,86,.319,86,225,10,1,7,1,0,*6,,betanyu01
83,Wilson Betemit#,24,2TM,NL,0.2,143,412,373,49,98,23,0,18,53,3,1,36,102,.263,.326,.469,.795,101,.353,104,175,11,0,1,2,6,5H64/D,,betemwi01
84,Larry Bigbie*,28,STL,NL,-0.1,17,28,25,2,6,1,0,0,1,0,0,3,9,.240,.321,.280,.601,58,.272,49,7,1,0,0,0,0,7/H9,,bigbila01
85,Craig Biggio,40,HOU,NL,0.4,145,607,548,79,135,33,0,21,62,3,2,40,84,.246,.306,.422,.727,84,.319,81,231,15,9,5,5,1,*4H/D,,biggicr01
86,Chad Billingsley,21,LAD,NL,-0.1,16,28,24,2,2,0,0,0,2,0,0,2,15,.083,.185,.083,.269,-27,.147,-47,2,0,1,1,0,0,1,,billich01
87,Kurt Birkins*,25,BAL,AL,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,birkiku01
88,Casey Blake,32,CLE,AL,2.4,109,456,401,63,113,20,1,19,68,6,0,45,93,.282,.356,.479,.835,115,.374,119,192,11,4,1,5,5,9/3DH,,blakeca01
89,Hank Blalock*,25,TEX,AL,0.3,152,646,591,76,157,26,3,16,89,1,0,51,98,.266,.325,.401,.726,86,.322,82,237,15,2,0,2,6,*5D/H,,blaloha01
90,Andrés Blanco#,22,KCR,AL,0.3,33,96,87,9,21,4,1,0,9,0,1,5,14,.241,.290,.310,.601,56,.284,58,27,2,1,3,0,0,6/4HD,,blancan01
91,Henry Blanco,34,CHC,NL,0.5,74,261,241,23,64,15,2,6,37,0,0,14,38,.266,.304,.419,.723,81,.324,81,101,8,0,4,2,1,2/3H,,blanche01
92,Joe Blanton,25,OAK,AL,0.0,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-256,0,0,0,1,0,0,1,,blantjo01
93,Willie Bloomquist,28,SEA,AL,0.9,102,283,251,36,62,6,2,1,15,16,3,24,40,.247,.320,.299,.619,64,.305,69,75,3,4,2,2,0,864H59/37D,,bloomwi01
94,Geoff Blum#,33,SDP,NL,1.1,109,299,276,27,70,17,1,4,34,0,1,17,51,.254,.293,.366,.659,75,.295,75,101,5,0,2,4,1,65H/349,,blumge01
95,Hiram Bocachica,30,OAK,AL,-0.1,8,16,13,3,3,0,0,0,0,1,0,3,4,.231,.375,.231,.606,65,.308,66,3,0,0,0,0,0,/89H7,,bocachi01
96,T.J. Bohn,26,SEA,AL,-0.1,18,16,14,2,2,0,0,1,2,0,0,2,8,.143,.250,.357,.607,57,.268,49,5,0,0,0,0,0,9/H7,,bohntj01
97,Jeremy Bonderman,23,DET,AL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,1,,bondeje01
98,Barry Bonds*,41,SFG,NL,4.0,130,493,367,74,99,23,0,26,77,3,0,115,51,.270,.454,.545,.999,156,.418,154,200,9,10,0,1,38,*7H/D,,bondsba01
99,Boof Bonser,24,MIN,AL,0.1,2,4,3,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.304,65,0,0,0,1,0,0,1,,bonsebo01
100,Chris Booker,29,WSN,NL,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bookech01
101,Aaron Boone,33,CLE,AL,-0.7,104,392,354,50,89,19,1,7,46,5,4,27,62,.251,.314,.370,.684,78,.304,73,131,4,6,4,1,1,5/H4D,,booneaa01
102,Joe Borchard#,27,2TM,2LG,-0.6,114,270,239,33,55,7,1,10,28,0,3,28,69,.230,.319,.393,.712,86,.312,85,94,5,3,0,0,3,9H7/8D3,,borchjo01
103,Dave Borkowski,29,HOU,NL,-0.1,37,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-144,0,0,0,0,0,0,1,,borkoda01
104,Joe Borowski,35,FLA,NL,0.0,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,borowjo01
105,Jason Botts#,25,TEX,AL,0.0,20,60,50,8,11,4,0,1,6,0,0,8,18,.220,.317,.360,.677,75,.308,72,18,0,0,0,2,1,D/H7,,bottsja01
106,Michael Bourn*,23,PHI,NL,-0.2,17,11,8,2,1,0,0,0,0,1,2,1,3,.125,.222,.125,.347,-9,.081,-57,1,0,0,2,0,0,9/H7,,bournmi01
107,Rob Bowen#,25,SDP,NL,0.3,94,110,94,22,23,5,0,3,13,0,1,13,26,.245,.339,.394,.733,96,.321,95,37,1,1,1,1,0,2H/3D,,bowenro01
108,Micah Bowie*,31,WSN,NL,0.0,15,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,bowiemi01
109,Blaine Boyer,24,ATL,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,boyerbl01
110,Chad Bradford,31,NYM,NL,0.0,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bradfch01
111,Milton Bradley#,28,OAK,AL,1.7,96,405,351,53,97,14,2,14,52,10,2,51,65,.276,.370,.447,.818,114,.372,120,157,13,2,0,1,1,9/HD,,bradlmi01
112,Russell Branyan*,30,2TM,2LG,1.6,91,282,241,37,55,11,0,18,36,2,0,34,89,.228,.327,.498,.825,113,.359,112,120,1,3,1,3,1,95H/37,,branyru01
113,Bill Bray*,23,2TM,NL,0.0,43,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,braybi01
114,Dewon Brazelton,26,SDP,NL,0.1,9,4,4,0,1,1,0,0,1,0,0,0,2,.250,.250,.500,.750,94,.310,84,2,0,0,0,0,0,/1,,brazede01
115,Yhency Brazobán,26,LAD,NL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,brazoyh01
116,Eude Brito*,27,PHI,NL,0.0,5,7,6,0,0,0,0,0,0,0,0,1,4,.000,.143,.000,.143,-59,.102,-78,0,0,0,0,0,0,/1,,britoeu01
117,Chris Britton,23,BAL,AL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,brittch01
118,Doug Brocail*,39,SDP,NL,0.0,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,brocado01
119,Ben Broussard*,29,2TM,AL,1.2,144,465,432,61,125,21,0,21,63,2,1,26,103,.289,.331,.484,.815,109,.355,109,209,8,3,0,4,3,3DH,,brousbe01
120,Jim Brower,33,SDP,NL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,broweji01
121,Adrian Brown#,32,TEX,AL,0.1,25,40,36,6,7,1,0,0,2,1,0,2,9,.194,.231,.222,.453,18,.233,13,8,2,0,1,1,0,98/H7,,brownad01
122,Emil Brown,31,KCR,AL,2.0,147,601,527,77,151,41,2,15,81,6,3,59,95,.287,.358,.457,.815,109,.356,107,241,15,5,0,10,3,*79D/H,,brownem01
123,Jeremy Brown,26,OAK,AL,0.1,5,11,10,1,3,2,0,0,0,0,0,1,1,.300,.364,.500,.864,124,.373,123,5,0,0,0,0,0,/DH2,,brownje02
124,Jonathan Broxton,22,LAD,NL,0.1,65,4,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,-3,.540,278,0,0,0,1,0,0,1,,broxtjo01
125,Eric Bruntlett,28,HOU,NL,0.4,73,136,119,11,33,8,0,0,10,3,1,13,21,.277,.351,.345,.695,80,.328,86,41,2,1,2,1,1,H46/8795,,brunter01
126,Taylor Buchholz,24,HOU,NL,-0.4,21,35,30,0,1,0,0,0,0,0,0,1,11,.033,.065,.033,.098,-74,.052,-134,1,0,0,4,0,0,1/H,,buchhta01
127,John Buck,25,KCR,AL,0.9,114,409,371,37,91,21,1,11,50,0,2,26,84,.245,.306,.396,.702,80,.315,79,147,7,7,4,1,2,*2/H,,buckjo01
128,Mark Buehrle*,27,CHW,AL,-0.1,2,5,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-212,0,0,0,1,0,0,1,AS,buehrma01
129,Jason Bulger,27,LAA,AL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,bulgeja01
130,Ambiorix Burgos,22,KCR,AL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,burgoam01
131,Chris Burke,26,HOU,NL,0.9,123,413,366,58,101,23,1,9,40,11,1,27,77,.276,.347,.418,.765,96,.346,96,153,6,14,4,2,0,487H/69,,burkech01
132,A.J. Burnett,29,TOR,AL,0.0,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,1,,burnea.01
133,Jeromy Burnitz*,37,PIT,NL,-0.7,111,343,313,35,72,12,0,16,49,1,1,22,74,.230,.289,.422,.711,81,.312,78,132,8,5,0,2,4,9H,,burnije01
134,Mike Burns,27,CIN,NL,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,burnsmi01
135,Pat Burrell,29,PHI,NL,1.1,144,567,462,80,119,24,1,29,95,0,0,98,131,.258,.388,.502,.890,122,.391,127,232,11,3,0,4,5,*7H/D,,burrepa01
136,Sean Burroughs*,25,TBD,AL,0.0,8,25,21,3,4,1,0,0,1,1,0,4,7,.190,.320,.238,.558,49,.279,48,5,1,0,0,0,0,/5H,,burrose01
137,Dave Bush,26,MIL,NL,0.1,33,72,62,6,11,3,0,0,9,0,0,0,25,.177,.190,.226,.416,6,.184,-32,14,1,1,9,0,0,1,,bushda01
138,Freddie Bynum*,26,CHC,NL,-0.5,71,148,136,20,35,5,5,4,12,8,4,9,44,.257,.308,.456,.764,91,.326,84,62,2,1,2,0,0,H47/98,,bynumfr01
139,Marlon Byrd,28,WSN,NL,1.2,78,228,197,28,44,8,1,5,18,3,3,22,47,.223,.317,.350,.667,76,.320,91,69,6,6,1,2,1,89H/7,,byrdma01
140,Paul Byrd,35,CLE,AL,0.0,2,6,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,31,.227,-24,1,0,0,2,0,0,1,,byrdpa01
141,Eric Byrnes,30,ARI,NL,1.8,143,606,562,82,150,37,3,26,79,25,3,34,88,.267,.313,.482,.795,96,.353,95,271,12,5,2,3,2,*879/H,,byrneer01
142,Daniel Cabrera,25,BAL,AL,0.0,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-400,0,0,0,1,0,0,1,,cabreda01
143,Fernando Cabrera,24,CLE,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,cabrefe01
144,Melky Cabrera#,21,NYY,AL,3.0,130,524,460,75,129,26,2,7,50,12,5,56,59,.280,.360,.391,.752,95,.349,101,180,9,2,5,1,3,*7/9H8,,cabreme01
145,Miguel Cabrera,23,FLA,NL,5.8,158,676,576,112,195,50,2,26,114,9,6,86,108,.339,.430,.568,.998,159,.426,166,327,18,10,0,4,27,*5/D,ASMVP-5SS,cabremi01
146,Orlando Cabrera,31,LAA,AL,2.2,153,675,607,95,171,45,1,9,72,27,3,51,58,.282,.335,.404,.738,91,.339,91,245,12,3,3,11,0,*6/H,,cabreor01
147,Matt Cain,21,SFG,NL,-0.1,31,66,57,1,8,2,0,0,1,0,0,1,28,.140,.155,.175,.331,-15,.149,-59,10,0,0,8,0,0,1,ROY-5,cainma01
148,Miguel Cairo,32,NYY,AL,0.8,81,244,222,28,53,12,3,0,30,13,1,13,31,.239,.280,.320,.600,55,.291,53,71,4,1,5,3,0,436/H5D7,,cairomi01
149,Kiko Calero,31,OAK,AL,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,calerki01
150,Alberto Callaspo#,23,ARI,NL,-0.1,23,47,42,2,10,1,1,0,6,0,1,4,6,.238,.298,.310,.607,54,.263,44,13,0,0,0,1,0,H/645,,callaal01
